time,high,last,timestamp,bid,vwap,volume,low,ask,open,time
2021-12-15 18:15:20,48785.37,47131.74,1639592120,47126.2,47633.61,2003.01567286,46464.0,47141.9,48386.95,2021-12-15 18:15:20
2021-12-15 18:15:40,48785.37,47190.91,1639592140,47160.46,47633.56,2003.22937058,46464.0,47183.63,48386.95,2021-12-15 18:15:40
2021-12-15 18:16:00,48785.37,47190.91,1639592160,47161.63,47633.57,2003.21859217,46464.0,47181.23,48386.95,2021-12-15 18:16:00
2021-12-15 18:16:20,48785.37,47181.1,1639592180,47166.15,47633.57,2003.212155,46464.0,47182.5,48386.95,2021-12-15 18:16:20
2021-12-15 18:16:40,48785.37,47191.22,1639592203,47188.25,47633.57,2003.222825,46464.0,47208.54,48386.95,2021-12-15 18:16:43
2021-12-15 18:17:00,48785.37,47206.53,1639592223,47195.23,47633.57,2003.231569,46464.0,47224.59,48386.95,2021-12-15 18:17:03
2021-12-15 18:17:20,48785.37,47206.53,1639592243,47170.79,47633.59,2003.178169,46464.0,47200.07,48386.95,2021-12-15 18:17:23
2021-12-15 18:17:40,48785.37,47205.43,1639592265,47182.44,47633.59,2003.176629,46464.0,47210.41,48386.95,2021-12-15 18:17:45
2021-12-15 18:18:00,48785.37,47206.54,1639592285,47185.95,47633.51,2003.56585796,46464.0,47206.54,48386.95,2021-12-15 18:18:05
2021-12-15 18:18:20,48785.37,47206.54,1639592308,47190.96,47633.51,2003.55175137,46464.0,47210.34,48386.95,2021-12-15 18:18:28
2021-12-15 18:18:40,48785.37,47223.93,1639592326,47198.19,47633.52,2003.54380457,46464.0,47233.23,48386.95,2021-12-15 18:18:46
2021-12-15 18:19:00,48785.37,47197.0,1639592348,47171.58,47632.84,2006.64675457,46464.0,47197.96,48386.95,2021-12-15 18:19:08
2021-12-15 18:19:20,48785.37,47222.21,1639592367,47184.74,47632.82,2006.77691457,46464.0,47211.88,48386.95,2021-12-15 18:19:27
2021-12-15 18:19:40,48785.37,47208.34,1639592380,47189.16,47633.76,2004.59533575,46464.0,47209.74,48386.95,2021-12-15 18:19:40
2021-12-15 18:20:00,48785.37,47237.36,1639592410,47215.22,47633.76,2004.59769621,46464.0,47237.36,48386.95,2021-12-15 18:20:10
2021-12-15 18:20:20,48785.37,47250.0,1639592430,47227.89,47633.74,2004.75114621,46464.0,47248.05,48386.95,2021-12-15 18:20:30
2021-12-15 18:20:40,48785.37,47252.25,1639592450,47222.49,47633.7,2004.96737183,46464.0,47249.29,48386.95,2021-12-15 18:20:50
2021-12-15 18:21:00,48785.37,47204.31,1639592470,47213.0,47633.62,2005.37198913,46464.0,47231.8,48386.95,2021-12-15 18:21:10
2021-12-15 18:21:20,48785.37,47208.59,1639592481,47188.58,47633.62,2005.37198913,46464.0,47208.59,48386.95,2021-12-15 18:21:21
